constructorId,constructorRef,name,nationality,url
15,sauber,Sauber,Swiss,http://en.wikipedia.org/wiki/Sauber_Motorsport
215,rb,RB F1 Team,Italian,http://en.wikipedia.org/wiki/RB_Formula_One_Team
